--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
5.3800       237258       WAIT: 882 samples (1/50s)
5.4000       238140       YM2151: reg 0x74, val 0x18
5.4000       238140       YM2151: reg 0x75, val 0x7F
5.4000       238140       YM2151: reg 0x76, val 0x08
5.4000       238140       YM2151: reg 0x0F, val 0x9F
5.4000       238140       YM2151: reg 0x27, val 0xFC
5.4000       238140       YM2151: reg 0x7F, val 0x7F
5.4000       238140       YM2151: reg 0x75, val 0x7F
5.4000       238140       YM2151: reg 0x2D, val 0x38
5.4000       238140       YM2151: reg 0x35, val 0xC8
5.4000       238140       YM2151: reg 0x0F, val 0x9F
5.4000       238140       YM2151: reg 0x27, val 0xFC
5.4000       238140       YM2151: reg 0x7F, val 0x7F
5.4000       238140       WAIT: 882 samples (1/50s)
5.4200       239022       WAIT: 882 samples (1/50s)
5.4400       239904       YM2151: reg 0x2C, val 0x52
5.4400       239904       YM2151: reg 0x34, val 0xE4
5.4400       239904       YM2151: reg 0x74, val 0x18
5.4400       239904       YM2151: reg 0x74, val 0x18
5.4400       239904       YM2151: reg 0x75, val 0x7F
5.4400       239904       YM2151: reg 0x76, val 0x08
5.4400       239904       YM2151: reg 0x0F, val 0x9F
5.4400       239904       YM2151: reg 0x27, val 0xFC
5.4400       239904       YM2151: reg 0x7F, val 0x7F
5.4400       239904       YM2151: reg 0x74, val 0x00
5.4400       239904       YM2151: reg 0x2C, val 0x52
5.4400       239904       YM2151: reg 0x34, val 0xE4
5.4400       239904       YM2151: reg 0x0F, val 0x9F
5.4400       239904       YM2151: reg 0x27, val 0xFC
5.4400       239904       YM2151: reg 0x7F, val 0x7F
5.4400       239904       YM2151: reg 0x75, val 0x7F
5.4400       239904       YM2151: reg 0x2D, val 0x38
5.4400       239904       YM2151: reg 0x35, val 0xC8
5.4400       239904       YM2151: reg 0x0F, val 0x9F
5.4400       239904       YM2151: reg 0x27, val 0xFC
5.4400       239904       YM2151: reg 0x7F, val 0x52
5.4400       239904       WAIT: 882 samples (1/50s)
5.4600       240786       YM2151: reg 0x74, val 0x04
5.4600       240786       YM2151: reg 0x2C, val 0x52
5.4600       240786       YM2151: reg 0x34, val 0xE4
5.4600       240786       YM2151: reg 0x0F, val 0x9F
5.4600       240786       YM2151: reg 0x27, val 0xFC
5.4600       240786       YM2151: reg 0x7F, val 0x52
5.4600       240786       WAIT: 882 samples (1/50s)
5.4800       241668       YM2151: reg 0x75, val 0x7F
5.4800       241668       YM2151: reg 0x2D, val 0x38
5.4800       241668       YM2151: reg 0x35, val 0xC8
5.4800       241668       YM2151: reg 0x0F, val 0x9F
5.4800       241668       YM2151: reg 0x27, val 0xFC
5.4800       241668       YM2151: reg 0x7F, val 0x60
5.4800       241668       WAIT: 882 samples (1/50s)
5.5000       242550       YM2151: reg 0x74, val 0x08
5.5000       242550       YM2151: reg 0x2C, val 0x52
5.5000       242550       YM2151: reg 0x34, val 0xE4
5.5000       242550       YM2151: reg 0x0F, val 0x9F
5.5000       242550       YM2151: reg 0x27, val 0xFC
5.5000       242550       YM2151: reg 0x7F, val 0x60
5.5000       242550       WAIT: 882 samples (1/50s)
5.5200       243432       YM2151: reg 0x2C, val 0x48
5.5200       243432       YM2151: reg 0x34, val 0xD0
5.5200       243432       YM2151: reg 0x74, val 0x08
5.5200       243432       YM2151: reg 0x74, val 0x14
5.5200       243432       YM2151: reg 0x2C, val 0x48
5.5200       243432       YM2151: reg 0x34, val 0xD0
5.5200       243432       YM2151: reg 0x0F, val 0x9F
