--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
0000047C  | 70: WAIT n+1 (val: 1)
0000047D  | BC: WonderSwan (reg: 0x10, val: 0x47)
00000480  | 61: WAIT (val: 568)
00000483  | BC: WonderSwan (reg: 0x08, val: 0xA8)
00000486  | 76: WAIT n+1 (val: 7)
00000487  | BC: WonderSwan (reg: 0x00, val: 0x16)
0000048A  | BC: WonderSwan (reg: 0x01, val: 0x06)
0000048D  | 74: WAIT n+1 (val: 5)
0000048E  | BC: WonderSwan (reg: 0x09, val: 0x88)
00000491  | 75: WAIT n+1 (val: 6)
00000492  | BC: WonderSwan (reg: 0x02, val: 0xC8)
00000495  | BC: WonderSwan (reg: 0x03, val: 0x04)
00000498  | 74: WAIT n+1 (val: 5)
00000499  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000049C  | 75: WAIT n+1 (val: 6)
0000049D  | BC: WonderSwan (reg: 0x04, val: 0x2B)
000004A0  | BC: WonderSwan (reg: 0x05, val: 0x04)
000004A3  | 70: WAIT n+1 (val: 1)
000004A4  | BC: WonderSwan (reg: 0x0C, val: 0x00)
000004A7  | 73: WAIT n+1 (val: 4)
000004A8  | BC: WonderSwan (reg: 0x0B, val: 0x22)
000004AB  | 71: WAIT n+1 (val: 2)
000004AC  | BC: WonderSwan (reg: 0x10, val: 0x47)
000004AF  | 61: WAIT (val: 548)
000004B2  | BC: WonderSwan (reg: 0x08, val: 0x7A)
000004B5  | 75: WAIT n+1 (val: 6)
000004B6  | BC: WonderSwan (reg: 0x09, val: 0x88)
000004B9  | 75: WAIT n+1 (val: 6)
000004BA  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000004BD  | 74: WAIT n+1 (val: 5)
000004BE  | BC: WonderSwan (reg: 0x0B, val: 0x22)
000004C1  | 71: WAIT n+1 (val: 2)
000004C2  | BC: WonderSwan (reg: 0x10, val: 0x47)
000004C5  | 61: WAIT (val: 566)
000004C8  | BC: WonderSwan (reg: 0x08, val: 0x7A)
000004CB  | 74: WAIT n+1 (val: 5)
000004CC  | BC: WonderSwan (reg: 0x09, val: 0x88)
000004CF  | 74: WAIT n+1 (val: 5)
000004D0  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000004D3  | 74: WAIT n+1 (val: 5)
000004D4  | BC: WonderSwan (reg: 0x0B, val: 0x22)
000004D7  | 70: WAIT n+1 (val: 1)
000004D8  | BC: WonderSwan (reg: 0x10, val: 0x47)
000004DB  | 61: WAIT (val: 568)
000004DE  | BC: WonderSwan (reg: 0x08, val: 0x7A)
000004E1  | 76: WAIT n+1 (val: 7)
000004E2  | BC: WonderSwan (reg: 0x00, val: 0x64)
000004E5  | BC: WonderSwan (reg: 0x01, val: 0x06)
000004E8  | 73: WAIT n+1 (val: 4)
000004E9  | BC: WonderSwan (reg: 0x09, val: 0x88)
000004EC  | 76: WAIT n+1 (val: 7)
000004ED  | BC: WonderSwan (reg: 0x02, val: 0x97)
000004F0  | BC: WonderSwan (reg: 0x03, val: 0x05)
000004F3  | 74: WAIT n+1 (val: 5)
000004F4  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000004F7  | 75: WAIT n+1 (val: 6)
000004F8  | BC: WonderSwan (reg: 0x04, val: 0xC8)
000004FB  | BC: WonderSwan (reg: 0x05, val: 0x04)
000004FE  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000501  | 74: WAIT n+1 (val: 5)
00000502  | BC: WonderSwan (reg: 0x0B, val: 0x22)
00000505  | 73: WAIT n+1 (val: 4)
00000506  | C6: WSwan Mem 00 B0 CC
0000050A  | C6: WSwan Mem 00 B1 DD
0000050E  | C6: WSwan Mem 00 B2 EE
00000512  | C6: WSwan Mem 00 B3 EE
00000516  | C6: WSwan Mem 00 B4 EE
0000051A  | C6: WSwan Mem 00 B5 EE
0000051E  | C6: WSwan Mem 00 B6 DD
00000522  | C6: WSwan Mem 00 B7 CC
00000526  | C6: WSwan Mem 00 B8 33
0000052A  | C6: WSwan Mem 00 B9 22
0000052E  | C6: WSwan Mem 00 BA 11
00000532  | C6: WSwan Mem 00 BB 11
00000536  | C6: WSwan Mem 00 BC 11
0000053A  | C6: WSwan Mem 00 BD 11
0000053E  | C6: WSwan Mem 00 BE 22
00000542  | C6: WSwan Mem 00 BF 33
00000546  | 72: WAIT n+1 (val: 3)
00000547  | BC: WonderSwan (reg: 0x06, val: 0x2D)
0000054A  | BC: WonderSwan (reg: 0x07, val: 0x03)
0000054D  | BC: WonderSwan (reg: 0x10, val: 0x47)
00000550  | 70: WAIT n+1 (val: 1)
00000551  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000554  | 61: WAIT (val: 542)
00000557  | BC: WonderSwan (reg: 0x08, val: 0xA6)
0000055A  | 74: WAIT n+1 (val: 5)
0000055B  | BC: WonderSwan (reg: 0x09, val: 0x88)
0000055E  | 75: WAIT n+1 (val: 6)
0000055F  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000562  | 74: WAIT n+1 (val: 5)
00000563  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000566  | 70: WAIT n+1 (val: 1)
00000567  | BC: WonderSwan (reg: 0x10, val: 0x4F)
0000056A  | 61: WAIT (val: 568)
0000056D  | BC: WonderSwan (reg: 0x08, val: 0xA6)
