--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
000003D0  | 54: YM2151 (reg: 0x75, val: 0x1C)
000003D3  | 74: WAIT n+1 (val: 5)
000003D4  | 54: YM2151 (reg: 0x26, val: 0xFC)
000003D7  | 54: YM2151 (reg: 0x76, val: 0x38)
000003DA  | 74: WAIT n+1 (val: 5)
000003DB  | 70: WAIT n+1 (val: 1)
000003DC  | 54: YM2151 (reg: 0x24, val: 0xFC)
000003DF  | 54: YM2151 (reg: 0x74, val: 0x14)
000003E2  | 54: YM2151 (reg: 0x25, val: 0xFC)
000003E5  | 54: YM2151 (reg: 0x75, val: 0x1C)
000003E8  | 54: YM2151 (reg: 0x26, val: 0xFC)
000003EB  | 54: YM2151 (reg: 0x76, val: 0x38)
000003EE  | 61: WAIT (val: 568)
000003F1  | 54: YM2151 (reg: 0x24, val: 0xFC)
000003F4  | 54: YM2151 (reg: 0x74, val: 0x14)
000003F7  | 76: WAIT n+1 (val: 7)
000003F8  | 54: YM2151 (reg: 0x2C, val: 0x38)
000003FB  | 54: YM2151 (reg: 0x34, val: 0x24)
000003FE  | 54: YM2151 (reg: 0x24, val: 0xFC)
00000401  | 54: YM2151 (reg: 0x74, val: 0x14)
00000404  | 54: YM2151 (reg: 0x2C, val: 0x41)
00000407  | 54: YM2151 (reg: 0x34, val: 0x6C)
0000040A  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000040D  | 54: YM2151 (reg: 0x74, val: 0x14)
00000410  | 74: WAIT n+1 (val: 5)
00000411  | 54: YM2151 (reg: 0x2D, val: 0x31)
00000414  | 54: YM2151 (reg: 0x35, val: 0x64)
00000417  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000041A  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000041D  | 75: WAIT n+1 (val: 6)
0000041E  | 54: YM2151 (reg: 0x2D, val: 0x35)
00000421  | 54: YM2151 (reg: 0x35, val: 0x6C)
00000424  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000427  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000042A  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000042D  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000430  | 74: WAIT n+1 (val: 5)
00000431  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000434  | 54: YM2151 (reg: 0x76, val: 0x38)
00000437  | 75: WAIT n+1 (val: 6)
00000438  | 54: YM2151 (reg: 0x26, val: 0xFC)
0000043B  | 54: YM2151 (reg: 0x76, val: 0x38)
0000043E  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000441  | 54: YM2151 (reg: 0x76, val: 0x38)
00000444  | 70: WAIT n+1 (val: 1)
00000445  | 73: WAIT n+1 (val: 4)
00000446  | 71: WAIT n+1 (val: 2)
00000447  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000044A  | 54: YM2151 (reg: 0x74, val: 0x14)
0000044D  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000450  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000453  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000456  | 54: YM2151 (reg: 0x76, val: 0x38)
00000459  | 61: WAIT (val: 548)
0000045C  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000045F  | 54: YM2151 (reg: 0x74, val: 0x14)
00000462  | 75: WAIT n+1 (val: 6)
00000463  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000466  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000469  | 75: WAIT n+1 (val: 6)
0000046A  | 54: YM2151 (reg: 0x26, val: 0xFC)
0000046D  | 54: YM2151 (reg: 0x76, val: 0x38)
00000470  | 74: WAIT n+1 (val: 5)
00000471  | 71: WAIT n+1 (val: 2)
00000472  | 54: YM2151 (reg: 0x24, val: 0xFC)
