--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
6.3800       281358       WAIT: 882 samples (1/50s)
6.4000       282240       AY8910: reg 0x00, val 0xB2
6.4000       282240       AY8910: reg 0x03, val 0x02
6.4000       282240       AY8910: reg 0x04, val 0x79
6.4000       282240       AY8910: reg 0x07, val 0x38
6.4000       282240       AY8910: reg 0x08, val 0x0F
6.4000       282240       AY8910: reg 0x09, val 0x0F
6.4000       282240       WAIT: 882 samples (1/50s)
6.4200       283122       AY8910: reg 0x02, val 0x5F
6.4200       283122       AY8910: reg 0x03, val 0x04
6.4200       283122       AY8910: reg 0x04, val 0x7B
6.4200       283122       AY8910: reg 0x08, val 0x0E
6.4200       283122       WAIT: 882 samples (1/50s)
6.4400       284004       AY8910: reg 0x03, val 0x05
6.4400       284004       AY8910: reg 0x04, val 0x79
6.4400       284004       AY8910: reg 0x09, val 0x0E
6.4400       284004       WAIT: 882 samples (1/50s)
6.4600       284886       AY8910: reg 0x02, val 0xDF
6.4600       284886       AY8910: reg 0x03, val 0x06
6.4600       284886       AY8910: reg 0x04, val 0x77
6.4600       284886       AY8910: reg 0x08, val 0x0D
6.4600       284886       WAIT: 882 samples (1/50s)
6.4800       285768       AY8910: reg 0x00, val 0x96
6.4800       285768       AY8910: reg 0x02, val 0x5F
6.4800       285768       AY8910: reg 0x03, val 0x08
6.4800       285768       AY8910: reg 0x08, val 0x0A
6.4800       285768       AY8910: reg 0x09, val 0x0D
6.4800       285768       WAIT: 882 samples (1/50s)
6.5000       286650       AY8910: reg 0x02, val 0xDF
6.5000       286650       AY8910: reg 0x04, val 0x75
6.5000       286650       AY8910: reg 0x08, val 0x09
6.5000       286650       AY8910: reg 0x09, val 0x0C
6.5000       286650       WAIT: 882 samples (1/50s)
6.5200       287532       AY8910: reg 0x02, val 0x5F
6.5200       287532       AY8910: reg 0x03, val 0x09
6.5200       287532       AY8910: reg 0x04, val 0x73
6.5200       287532       AY8910: reg 0x09, val 0x0A
6.5200       287532       WAIT: 882 samples (1/50s)
6.5400       288414       AY8910: reg 0x02, val 0xDF
6.5400       288414       AY8910: reg 0x04, val 0x75
6.5400       288414       AY8910: reg 0x09, val 0x07
6.5400       288414       WAIT: 882 samples (1/50s)
6.5600       289296       AY8910: reg 0x00, val 0xEF
6.5600       289296       AY8910: reg 0x03, val 0x01
6.5600       289296       AY8910: reg 0x04, val 0x77
6.5600       289296       AY8910: reg 0x06, val 0x00
6.5600       289296       AY8910: reg 0x07, val 0x2A
